Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Sales,Year,Types,City
2012 Honda Brio 1.2 S MT I VTEC,MANUAL,"68,941 km",Petrol,1st Owner,MH-03,"?5,908/month","Fixed Price?3,02,199",12-Jun,Honda,Mumbai
2017 Ford Ecosport 1.5 TDCI TITANIUM PLUS,MANUAL,"89,314 km",Diesel,1st Owner,UP-32-x-xxxx,"?13,040/month","Fixed Price?6,66,999",,Ford,Lucknow
2020 MG HECTOR SHARP DCT PETROL,AUTOMATIC,"19,456 km",Petrol,1st Owner,GJ-06,"?29,785/month","?16,52,499?15,86,099",20-Jun,MG,Ahmedabad
2021 Toyota URBAN CRUISER PREMIUM MT,,"4,287 km",Petrol,2nd Owner,KA-05-x-xxxx,"?20,463/month","?11,07,899?10,89,699",21-Nov,Cars above 10 lakh,Bangalore
2020 Volkswagen Polo Trendline 1.0 L Petrol,MANUAL,"46,697 km",Petrol + CNG,1st Owner,MH-04,"?11,695/month","?6,35,699?5,98,199",20-Jul,CNG,Mumbai
2012 Maruti Swift VXI,MANUAL,"19,042 km",Petrol,1st Owner,WB-20,"?6,784/month","Fixed Price?3,46,999",12-Feb,Cars from 2 lakh - 5 lakh,Kolkata
2021 Toyota Glanza G CVT,AUTOMATIC,"8,259 km",Petrol,1st Owner,KA-02-x-xxxx,"?18,736/month","Fixed Price?9,97,699",21-Mar,Toyota,Bangalore
2021 Mahindra Thar LX  4WD AT CONVERTIBLE,AUTOMATIC,"18,128 km",Petrol,1st Owner,HR-21,"?30,642/month","?16,87,199?16,31,699",21-Oct,Mahindra,New Delhi
2016 Nissan Micra XV CVT,AUTOMATIC,"51,567 km",Petrol,1st Owner,TS-08-x-xxxx,"?9,847/month","Fixed Price?5,03,699",16-Nov,Nissan,Hyderabad
2021 Tata TIGOR XZ PLUS 1.2 REVOTRON,MANUAL,"16,667 km",Petrol,1st Owner,TS-08-x-xxxx,"?14,414/month","?8,04,399?7,37,299",21-Aug,,Hyderabad
2022 Skoda KUSHAQ AMBITION 1.0 TSI AT,,"4,340 km",Petrol,1st Owner,GJ-18,"?26,783/month","?15,41,999?14,26,199",22-May,,Ahmedabad
2016 Tata Tiago XZ 1.2 REVOTRON,MANUAL,"59,341 km",Petrol,1st Owner,KA-05-x-xxxx,"?9,329/month","?4,89,599?4,77,199",16-Oct,Tata,Bangalore
2014 Ford Ecosport 1.5AMBIENTE TI VCT,MANUAL,"85,905 km",Petrol,1st Owner,MH-12,"?9,323/month","?4,81,899?4,76,899",14-Mar,Mahindra,Pune
2019 Ford Figo Aspire 1.2 TITANIUM PETROL,MANUAL,"23,290 km",Petrol,1st Owner,TN-14-x-xxxx,"?12,915/month","?7,10,599?6,60,599",19-May,Ford,Chennai
2018 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,"79,406 km",Diesel,1st Owner,UP-78-x-xxxx,"?15,161/month","?8,01,299?7,75,499",18-Jun,Diesel,Lucknow
2021 Volkswagen Polo HIGH LINE PLUS 1.0,MANUAL,"22,535 km",Petrol,1st Owner,TN-01-x-xxxx,"?16,308/month","?8,88,099?8,68,399",21-Jun,,Chennai
2011 Hyundai i20 SPORTZ 1.2 VTVT,MANUAL,"30,702 km",Petrol,2nd Owner,DL-3C,"?5,879/month","Fixed Price?3,00,699",11-Dec,Cars from 2 lakh - 5 lakh,New Delhi
2019 Maruti New  Wagon-R LXI 1.0 L,MANUAL,"3,579 km",Petrol,1st Owner,DL-12,"?9,914/month","Fixed Price?5,07,099",19-Nov,Cars from 5 lakh - 10 lakh,New Delhi
2020 Renault TRIBER RXE MT PETROL,MANUAL,"7,008 km",Petrol,1st Owner,WB-06,"?10,262/month","?5,37,999?5,24,899",20-Oct,Renault,Kolkata
2016 Hyundai i10 MAGNA 1.1 IRDE2,MANUAL,"57,622 km",Petrol,1st Owner,DL-8C,"?6,643/month","Fixed Price?3,39,799",16-Feb,Cars from 2 lakh - 5 lakh,New Delhi
2015 Tata Nano XT TWIST,MANUAL,"39,537 km",Petrol,2nd Owner,MH-12,"?2,882/month","Fixed Price?1,47,399",,Cars under 2 lakh,Pune
